sku,name,collection,description,short_description,specs,tags,materials
37-OT05,Table Bases Marin 05 Occasional Table Base,Marin,"The Marin Occasional Table is a versatile option for outdoor living areas that need both function and style. Ideal as a coffee table or accent table, this base offers a low-profile design that enhances conversation areas without overwhelming the space. Made from durable aluminum, it’s built to withstand the elements while maintaining its refined appearance season after season. The rectangular format works well with our porcelain, Dekton , or Micro Mesh tops, making it easy to coordinate with Marin seating and dining pieces. Whether used poolside or on a covered patio, this occasional table base adds practical surface space with a polished, coastal feel. Best for: • Outdoor coffee or accent tables • Rectangular tabletop applications • Coordinated lounge settings Fits: - 28x50"" (Porcelain or Micro Mesh) - 31x56"" (Dekton) - 36x58"" (Porcelain or Micro Mesh)","The Marin Occasional Table is a versatile option for outdoor living areas that need both function and style. Ideal as a coffee table or accent table, this base offers a low-profile design that enhances conversation areas without overwhelming the space. Made from durable aluminum, it’s built to withstand the elements while maintaining its refined appearance season after season. The rectangular format works well with our porcelain, Dekton , or Micro Mesh tops, making it easy to coordinate with Marin seating and dining pieces. Whether used poolside or on a covered patio, this occasional table base adds practical surface space with a polished, coastal feel. Best for: • Outdoor coffee or accent tables • Rectangular tabletop applications • Coordinated lounge settings Fits: - 28x50"" (Porcelain or Micro Mesh) - 31x56"" (Dekton) - 36x58"" (Porcelain or Micro Mesh)","{'collection': 'Marin', 'spec_sheet_pdf': 'https://www.owlee.com/collections/marin-aluminum-bases/marin-occasional-table-base/'}","['o-w-lee', 'table-bases', 'made-in-usa']",Aluminum
37-DT07,Table Bases Marin 07 Dining Table Base,Marin,"The Marin Dining Table Base for rectangular tops is designed to anchor larger outdoor dining spaces with stability and understated elegance. Its streamlined profile supports longer tabletops while maintaining the light, architectural feel that defines the Marin collection. Constructed from corrosion-resistant aluminum, this base is well suited for outdoor and coastal environments. The thoughtfully engineered design allows for comfortable chair placement and generous legroom, making it ideal for entertaining. Pair this base with one of our porcelain, Dekton, or Micro Mesh rectangular tops and select from O.W. Lee’s extensive finish options to create a dining table tailored to your space. Best for: • Larger outdoor dining settings • Rectangular dining table configurations • Entertaining and gathering spaces Fits: • 42x72” (Porcelain) • 42x84” Rectangular (Porcelain, Micro Mesh, or Dekton)","The Marin Dining Table Base for rectangular tops is designed to anchor larger outdoor dining spaces with stability and understated elegance. Its streamlined profile supports longer tabletops while maintaining the light, architectural feel that defines the Marin collection. Constructed from corrosion-resistant aluminum, this base is well suited for outdoor and coastal environments. The thoughtfully engineered design allows for comfortable chair placement and generous legroom, making it ideal for entertaining. Pair this base with one of our porcelain, Dekton, or Micro Mesh rectangular tops and select from O.W. Lee’s extensive finish options to create a dining table tailored to your space. Best for: • Larger outdoor dining settings • Rectangular dining table configurations • Entertaining and gathering spaces Fits: • 42x72” (Porcelain) • 42x84” Rectangular (Porcelain, Micro Mesh, or Dekton)","{'height_in': '28.25', 'collection': 'Marin', 'weight_lbs': '33 (pkg)', 'spec_sheet_pdf': 'https://www.owlee.com/collections/marin-aluminum-bases/marin-dining-table-base-dt07/', 'depth_length_in': '33.75', 'width_diameter_in': '53.5'}","['o-w-lee', 'table-bases', 'made-in-usa']",Aluminum
MM-TOPS,Micro Mesh Tops,Micro Mesh,,,,[],
5153-2545O,Moda Occasional Height Fire Pit,Moda,"Clean lines, modern form, and advanced materials define the aluminum Moda Fire Pit by O.W. Lee. Featuring a sleek, low-profile aluminum frame and a premium Dekton® hearth top, Moda delivers contemporary style with lightweight strength and weather-resistant performance. Proudly made in the USA, Moda is available in 10 aluminum frame finishes and two Dekton® top options. Choose manual or electronic ignition, with each model shipping propane-ready and convertible to natural gas. Offered in two streamlined sizes, Moda serves as a refined aluminum focal point for modern outdoor entertaining.","Clean lines, modern form, and advanced materials define the aluminum Moda Fire Pit by O.W. Lee. Featuring a sleek, low-profile aluminum frame and a premium Dekton® hearth top, Moda delivers contemporary style with lightweight strength and weather-resistant performance. Proudly made in the USA, Moda is available in 10 aluminum frame finishes and two Dekton® top options. Choose manual or electronic ignition, with each model shipping propane-ready and convertible to natural gas. Offered in two streamlined sizes, Moda serves as a refined aluminum focal point for modern outdoor entertaining.","{'height_in': '19', 'collection': 'Moda', 'weight_lbs': '98 (pkg)', 'arm_height_in': '—', 'seat_height_in': '—', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5153-2545O-Moda.pdf', 'depth_length_in': '25', 'width_diameter_in': '45'}","['o-w-lee', 'moda', 'made-in-usa']",Aluminum
5153-2565O,Moda Occasional Height Fire Pit,Moda,"Clean lines, modern form, and advanced materials define the aluminum Moda Fire Pit by O.W. Lee. Featuring a sleek, low-profile aluminum frame and a premium Dekton® hearth top, Moda delivers contemporary style with lightweight strength and weather-resistant performance. Proudly made in the USA, Moda is available in 10 aluminum frame finishes and two Dekton® top options. Choose manual or electronic ignition, with each model shipping propane-ready and convertible to natural gas. Offered in two streamlined sizes, Moda serves as a refined aluminum focal point for modern outdoor entertaining.","Clean lines, modern form, and advanced materials define the aluminum Moda Fire Pit by O.W. Lee. Featuring a sleek, low-profile aluminum frame and a premium Dekton® hearth top, Moda delivers contemporary style with lightweight strength and weather-resistant performance. Proudly made in the USA, Moda is available in 10 aluminum frame finishes and two Dekton® top options. Choose manual or electronic ignition, with each model shipping propane-ready and convertible to natural gas. Offered in two streamlined sizes, Moda serves as a refined aluminum focal point for modern outdoor entertaining.","{'height_in': '19', 'collection': 'Moda', 'weight_lbs': '158 (pkg)', 'arm_height_in': '—', 'seat_height_in': '—', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/Casual-Fireside_Retail_SpecSheets_2026_5153-2565O-Moda.pdf', 'depth_length_in': '25', 'width_diameter_in': '65'}","['o-w-lee', 'moda', 'made-in-usa']",Aluminum
MA-BT03,Modern Aluminum 03 Bar Table Base,Modern Aluminum,"Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements—resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 36"" Square (Porcelain) - 42"" Round (Porcelain and Micro Mesh) - 42"" Square (Porcelain and Micro Mesh) - 54"" Round (Porcelain, Dekton, and Micro Mesh)","Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements—resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 36"" Square (Porcelain) - 42"" Round (Porcelain and Micro Mesh) - 42"" Square (Porcelain and Micro Mesh) - 54"" Round (Porcelain, Dekton, and Micro Mesh)","{'collection': 'Table Bases', 'source_url': 'https://www.owlee.com/collections/table-bases/bar-table-base-table-bases-modern-aluminum/', 'weight_lbs': '30', 'depth_length_in': '25', 'width_diameter_in': '25'}","['o-w-lee', 'tables-tops-bases', 'made-in-usa', 'quote-only']",Aluminum
MA-CT03,Modern Aluminum 03 Counter Table Base,Modern Aluminum,"Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements—resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 36"" Square (Porcelain) - 42"" Round (Porcelain and Micro Mesh) - 42"" Square (Porcelain and Micro Mesh) - 54"" Round (Porcelain, Dekton, and Micro Mesh)","Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements—resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 36"" Square (Porcelain) - 42"" Round (Porcelain and Micro Mesh) - 42"" Square (Porcelain and Micro Mesh) - 54"" Round (Porcelain, Dekton, and Micro Mesh)","{'height_in': '37', 'collection': 'Table Bases', 'source_url': 'https://www.owlee.com/collections/table-bases/counter-table-base-table-bases-modern-aluminum/', 'weight_lbs': '25 (pkg)', 'depth_length_in': '25', 'width_diameter_in': '25'}","['o-w-lee', 'tables-tops-bases', 'made-in-usa', 'quote-only']",Aluminum
MA-DT03,Modern Aluminum 03 Dining Table Base,Modern Aluminum,"Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements—resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 36"" Square (Porcelain) - 42"" Round (Porcelain and Micro Mesh) - 42"" Square (Porcelain and Micro Mesh) - 54"" Round (Porcelain, Dekton, and Micro Mesh)","Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements—resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 36"" Square (Porcelain) - 42"" Round (Porcelain and Micro Mesh) - 42"" Square (Porcelain and Micro Mesh) - 54"" Round (Porcelain, Dekton, and Micro Mesh)","{'height_in': '28', 'collection': 'Table Bases', 'source_url': 'https://www.owlee.com/collections/table-bases/dining-table-base-table-bases-modern-aluminum/', 'weight_lbs': '21 (pkg)', 'depth_length_in': '25', 'width_diameter_in': '25'}","['o-w-lee', 'tables-tops-bases', 'made-in-usa', 'quote-only']",Aluminum
MA-OT03,Modern Aluminum 03 Occasional Table Base,Modern Aluminum,"Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements—resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 36"" Square (Porcelain) - 42"" Round (Porcelain and Micro Mesh) - 42"" Square (Porcelain and Micro Mesh) - 54"" Round (Porcelain, Dekton, and Micro Mesh)","Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements—resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 36"" Square (Porcelain) - 42"" Round (Porcelain and Micro Mesh) - 42"" Square (Porcelain and Micro Mesh) - 54"" Round (Porcelain, Dekton, and Micro Mesh)","{'height_in': '18', 'collection': 'Table Bases', 'source_url': 'https://www.owlee.com/collections/table-bases/occasional-table-base-table-bases-modern-aluminum-2/', 'weight_lbs': '20 (pkg)', 'depth_length_in': '25', 'width_diameter_in': '25'}","['o-w-lee', 'tables-tops-bases', 'made-in-usa', 'quote-only']",Aluminum
MA-DT07,Modern Aluminum 07 Dining Table Base,Modern Aluminum,"Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements—resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 42x72"" (Porcelain) - 42x84"" (Porcelain, Dekton, Micro Mesh)","Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements—resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 42x72"" (Porcelain) - 42x84"" (Porcelain, Dekton, Micro Mesh)","{'height_in': '28', 'collection': 'Table Bases', 'source_url': 'https://www.owlee.com/collections/table-bases/dining-table-base-table-bases-modern-aluminum-2/', 'weight_lbs': '40', 'depth_length_in': '26.5', 'width_diameter_in': '53.5'}","['o-w-lee', 'tables-tops-bases', 'made-in-usa', 'quote-only']",Aluminum
MA-ST01,Table Bases Modern Aluminum 01 Side Table Base,Modern Aluminum,"Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements--resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 24"" Round (Porcelain, Dekton, or Mesh) - 24"" Square (Porcelain or Dekton) - 30"" Round (Porcelain or Mesh)","Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements--resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 24"" Round (Porcelain, Dekton, or Mesh) - 24"" Square (Porcelain or Dekton) - 30"" Round (Porcelain or Mesh)","{'height_in': '20', 'collection': 'Table Bases', 'weight_lbs': '11', 'spec_sheet_pdf': 'https://www.owlee.com/collections/table-bases/side-table-base-table-bases-modern-aluminum/', 'depth_length_in': '15', 'width_diameter_in': '15'}","['o-w-lee', 'table-bases', 'made-in-usa']",Aluminum
MA-BT05,Table Bases Modern Aluminum 05 Bar Table Base,Modern Aluminum,"Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements--resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 28x50"" (Porcelain, Micro Mesh) - 31x56"" (Dekton) - 36x58"" (porcelain, Micro Mesh)","Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements--resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 28x50"" (Porcelain, Micro Mesh) - 31x56"" (Dekton) - 36x58"" (porcelain, Micro Mesh)","{'collection': 'Table Bases', 'weight_lbs': '29 (pkg)', 'spec_sheet_pdf': 'https://www.owlee.com/collections/table-bases/modern-aluminum-05-bar-table-base/'}","['o-w-lee', 'table-bases', 'made-in-usa']",Aluminum
MA-CT05,Table Bases Modern Aluminum 05 Counter Table Base,Modern Aluminum,"Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements--resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 28x50"" (Porcelain, Micro Mesh) - 31x56"" (Dekton) - 36x58"" (porcelain, Micro Mesh)","Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements--resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 28x50"" (Porcelain, Micro Mesh) - 31x56"" (Dekton) - 36x58"" (porcelain, Micro Mesh)","{'collection': 'Table Bases', 'weight_lbs': '28 (pkg)', 'spec_sheet_pdf': 'https://www.owlee.com/collections/table-bases/modern-aluminum-05-counter-table-base/'}","['o-w-lee', 'table-bases', 'made-in-usa']",Aluminum
MA-OT05,Table Bases Modern Aluminum 05 Occasional Table Base,Modern Aluminum,"Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements--resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 28x50"" (Porcelain, Micro Mesh) - 31x56"" (Dekton) - 36x58"" (porcelain, Micro Mesh)","Sleek, minimal, and designed for contemporary outdoor living, our Modern Aluminum table bases provide a clean foundation for any table top. Crafted from durable, powder-coated aluminum, they are lightweight yet built to withstand the elements--resistant to rust, corrosion, and fading. Their streamlined design pairs effortlessly with porcelain, Dekton, or micro mesh tops and complements our Arc, Aris, Avana, and Studio collections, making them a versatile choice for both residential and commercial settings. Combining modern style with long-lasting performance, these bases are as practical as they are elegant. This base fits the following tops: - 28x50"" (Porcelain, Micro Mesh) - 31x56"" (Dekton) - 36x58"" (porcelain, Micro Mesh)","{'height_in': '18', 'collection': 'Table Bases', 'weight_lbs': '20 (pkg)', 'spec_sheet_pdf': 'https://www.owlee.com/collections/table-bases/occasional-table-base-table-bases-modern-aluminum/', 'depth_length_in': '20', 'width_diameter_in': '43'}","['o-w-lee', 'table-bases', 'made-in-usa']",Aluminum
MA-DT10,Table Bases Modern Aluminum 10 Dining Table Base,Modern Aluminum,"Part of the O.W. Lee Table Bases collection. Crafted in the USA, O.W. Lee pieces are built to order and sold exclusively through our showroom — contact a sales agent for pricing, finishes, and cushion options.",Table Bases collection · Modern Aluminum 10 Dining Table Base by O.W. Lee,"{'height_in': '28', 'collection': 'Table Bases', 'spec_sheet_pdf': 'https://www.owlee.com/collections/table-bases/modern-aluminum-10-dining-table-base/', 'depth_length_in': '32', 'width_diameter_in': '67'}","['o-w-lee', 'table-bases', 'made-in-usa']",Aluminum
428-CH,Monterra Adjustable Chaise,Monterra,"The O.W. Lee Monterra Adjustable Chaise combines timeless Mediterranean influence with customizable comfort. Featuring a robust wrought iron frame and adjustable reclining positions, this outdoor chaise lounge offers a relaxing retreat with classic, rustic style. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Monterra Adjustable Chaise combines timeless Mediterranean influence with customizable comfort. Featuring a robust wrought iron frame and adjustable reclining positions, this outdoor chaise lounge offers a relaxing retreat with classic, rustic style. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '45.5', 'collection': 'Monterra', 'weight_lbs': '120 (pkg)', 'arm_height_in': '25.5', 'seat_height_in': '19', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2026/03/2026-Monterra_Retail_SpecSheet_428-CH-Adjustable-Chaise.pdf', 'depth_length_in': '87', 'width_diameter_in': '42.5'}","['o-w-lee', 'monterra', 'made-in-usa']",Wrought Iron
425-C,Monterra Center Sectional,Monterra,"The O.W. Lee Monterra Sectional Collection allows for flexible, modular arrangements with Old World craftsmanship at its core. Handcrafted wrought iron frames and plush cushions create outdoor sectional pieces that provide comfort, durability, and the textured warmth of Mediterranean and Southwestern design. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Monterra Sectional Collection allows for flexible, modular arrangements with Old World craftsmanship at its core. Handcrafted wrought iron frames and plush cushions create outdoor sectional pieces that provide comfort, durability, and the textured warmth of Mediterranean and Southwestern design. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '43.5', 'collection': 'Monterra', 'weight_lbs': '136 (pkg)', 'arm_height_in': '—', 'seat_height_in': '20', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/2026-Monterra_Retail_SpecSheet_425-C-Center-Sectional.pdf', 'depth_length_in': '44.5', 'width_diameter_in': '68'}","['o-w-lee', 'monterra', 'made-in-usa']",Wrought Iron
426-2S,Monterra Crescent Love Seat,Monterra,"The O.W. Lee Monterra Crescent Love Seat highlights the collection’s signature curves and Old World detailing. Its handcrafted wrought iron frame and plush cushions create a welcoming outdoor love seat that encourages intimate conversation in patios and smaller gathering spaces. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Monterra Crescent Love Seat highlights the collection’s signature curves and Old World detailing. Its handcrafted wrought iron frame and plush cushions create a welcoming outdoor love seat that encourages intimate conversation in patios and smaller gathering spaces. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '43.5', 'collection': 'Monterra', 'weight_lbs': '145 (pkg)', 'arm_height_in': '25.5', 'seat_height_in': '19.5', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/2026-Monterra_Retail_SpecSheet_426-2S-Crescent-Love-Seat.pdf', 'depth_length_in': '45', 'width_diameter_in': '70'}","['o-w-lee', 'monterra', 'made-in-usa']",Wrought Iron
487-O,Monterra Curved Ottoman,Monterra,"The O.W. Lee Monterra Curved Ottoman adds sculptural elegance and versatility to seating arrangements. Its handcrafted wrought iron frame and cushioned top create a functional outdoor ottoman that mirrors the collection’s signature curves and rustic sophistication. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Monterra Curved Ottoman adds sculptural elegance and versatility to seating arrangements. Its handcrafted wrought iron frame and cushioned top create a functional outdoor ottoman that mirrors the collection’s signature curves and rustic sophistication. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '18.5', 'collection': 'Monterra', 'weight_lbs': '56 (pkg)', 'arm_height_in': '—', 'seat_height_in': '—', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/2026-Monterra_Retail_SpecSheet_487-O-Curved-Ottoman.pdf', 'depth_length_in': '28.5', 'width_diameter_in': '62.75'}","['o-w-lee', 'monterra', 'made-in-usa']",Wrought Iron
404-A,Monterra Dining Arm Chair,Monterra,"The O.W. Lee Monterra Dining Arm Chair reflects the collection’s blend of Southwestern warmth and Mediterranean influence through handcrafted detail and rich texture. Its decorative wrought iron frame and supportive design create a timeless outdoor dining chair that brings Old World character to inviting outdoor dining spaces. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","The O.W. Lee Monterra Dining Arm Chair reflects the collection’s blend of Southwestern warmth and Mediterranean influence through handcrafted detail and rich texture. Its decorative wrought iron frame and supportive design create a timeless outdoor dining chair that brings Old World character to inviting outdoor dining spaces. O.W. Lee is renowned for its exceptional quality, supported by an industry-leading warranty. Our frames are covered by a 20-year structural warranty, and the finish is guaranteed against fading, blistering, and peeling for 5 years. Cushions and fabrics are also backed by a 5-year warranty. With a selection of 10 elegant frame finishes and over 100 fabric options, including 16 sling fabrics, customers can easily customize each piece to seamlessly complement their individual style.","{'height_in': '39.25', 'collection': 'Monterra', 'weight_lbs': '27', 'arm_height_in': '25', 'seat_height_in': '19', 'spec_sheet_pdf': 'https://www.owlee.com/wp-content/uploads/2021/11/2026-Monterra_Retail_SpecSheet_404-A-Dining-Arm-Chair.pdf', 'depth_length_in': '26.75', 'width_diameter_in': '29.75'}","['o-w-lee', 'monterra', 'made-in-usa']",Wrought Iron
